followers,likes,comments,post_type,day_of_week,time_of_day,hashtags_count,reach
2880,496,24,video,Friday,20,17,1772.5177013739021
13125,212,96,video,Friday,20,13,5266.129001800764
15332,1705,76,video,Friday,20,8,10413.714699967439
3098,1762,178,video,Friday,20,4,1510.0984402030692
9144,964,65,video,Friday,20,3,5670.540466685289
23836,666,86,video,Friday,20,8,10501.357420484996
21251,855,142,video,Friday,20,14,7423.925984640962
8899,1456,96,video,Friday,20,5,3042.1768505706123
20118,1400,15,video,Friday,20,6,7594.08565258286
17506,501,83,video,Friday,20,2,11174.726008282692
18068,775,191,video,Friday,20,8,8097.133775874908
19060,1516,141,video,Friday,20,11,11007.301053391155
21015,1607,60,video,Friday,20,2,7216.620032273488
19265,281,132,video,Friday,20,12,11311.166957798421
16863,1252,39,video,Friday,20,5,8920.764986204998
19499,1303,178,video,Friday,20,15,8866.55606617918
16167,505,118,video,Friday,20,1,6805.021712950036
24262,1258,37,video,Friday,20,18,13766.192218043476
19957,830,1,video,Friday,20,16,10814.605608447582
13857,520,9,video,Friday,20,1,9466.63551915165
19907,1113,116,video,Friday,20,12,8189.997388508761
3708,1128,151,video,Friday,20,1,1167.6168490620134
20558,1297,77,video,Friday,20,16,6887.006972373388
14728,789,185,video,Friday,20,14,7851.143767393662
14642,1491,106,video,Friday,20,1,7370.84639573309
6639,1148,197,video,Friday,20,15,4560.417052113441
4002,1772,149,video,Friday,20,14,2155.853906401813
2494,1398,124,video,Friday,20,14,1344.3612187351223
24787,1124,190,video,Friday,20,7,8378.840711944475
4808,1933,180,video,Friday,20,18,1887.5658224747851
11119,625,150,video,Friday,20,13,5810.750743882463
13617,1356,139,video,Friday,20,15,6440.641342258146
23010,1187,150,video,Friday,20,12,7242.2372006786645
4178,1342,153,video,Friday,20,14,1343.2049431382543
16876,635,3,video,Friday,20,8,8433.983668118628
2418,1248,99,video,Friday,20,6,1562.2654918067797
23818,485,199,video,Friday,20,9,12158.831163984543
22844,840,20,video,Friday,20,19,11104.141602357004
23020,918,119,video,Friday,20,16,15279.033862467233
10789,1215,134,video,Friday,20,2,4217.771621175792
12936,1878,126,video,Friday,20,7,8033.136249581168
22558,1426,183,video,Friday,20,11,13339.263713695613
7640,684,53,video,Friday,20,6,4942.659772395238
4565,1208,9,video,Friday,20,15,2255.9039754586784
22286,1413,3,image,Tuesday,14,4,9635.184881477828
12794,1711,97,image,Tuesday,14,8,4016.0099085052593
13176,1405,38,image,Tuesday,14,2,6104.974655475767
19933,1983,134,image,Tuesday,14,11,7906.508835360566
7877,1343,75,image,Tuesday,14,5,3779.179012679789
3796,1989,80,image,Tuesday,14,9,2246.7496939868347
8332,1234,72,image,Tuesday,14,14,5482.763955719907
5965,1751,29,image,Tuesday,14,17,4147.696106707667
20422,1811,172,image,Tuesday,14,7,9681.801079980825
23353,907,29,image,Tuesday,14,13,15443.900634256273
23931,1751,164,image,Tuesday,14,13,9016.012232223251
15508,1558,59,image,Tuesday,14,16,8299.001486816891
4641,469,62,image,Tuesday,14,7,1993.974966231616
8011,423,52,image,Tuesday,14,10,5597.789239251789
15501,913,4,image,Tuesday,14,12,7349.967599018548
19557,1368,143,image,Tuesday,14,16,8684.073520882715
17061,1893,171,image,Tuesday,14,18,10269.881172554344
12289,1174,97,image,Tuesday,14,6,6542.7670392331365
24044,614,58,image,Tuesday,14,10,16250.862267873394
2896,420,7,image,Tuesday,14,16,994.4486841920381
9024,1403,34,image,Tuesday,14,11,3188.4603075640202
8732,1589,7,image,Tuesday,14,20,5841.256827228072
2821,1323,159,image,Tuesday,14,13,1384.686912440455
11309,1230,92,image,Tuesday,14,20,6838.965565191797
24884,1717,83,image,Tuesday,14,2,16543.056489672857
17029,106,78,image,Tuesday,14,5,7029.955292786601
15458,970,197,image,Tuesday,14,12,8167.292032226951
12101,1634,17,image,Tuesday,14,8,3849.284723728606
13179,1554,17,image,Tuesday,14,18,6349.779462357106
8000,1719,23,image,Tuesday,14,8,5149.704602140011
13810,1850,191,image,Tuesday,14,11,7108.976971211439
14581,1191,168,image,Tuesday,14,1,4680.653197378174
24556,1035,21,image,Tuesday,14,1,16060.038442198302
7512,483,164,image,Tuesday,14,10,3240.5188359078593
9579,316,2,image,Tuesday,14,13,3489.491314426788
20577,1589,106,image,Tuesday,14,18,6839.277394350746
14177,531,40,image,Tuesday,14,19,4775.5749366223135
20341,1666,36,image,Tuesday,14,7,11593.934747325142
4255,1524,100,image,Tuesday,14,19,1520.1134831400543
18814,127,61,image,Tuesday,14,12,7545.909240200311
13003,290,92,image,Tuesday,14,17,4155.197364204441
7233,546,90,image,Tuesday,14,14,4672.026426471657
5010,821,64,image,Tuesday,14,8,2975.6337996482166
7780,537,107,image,Tuesday,14,12,2623.97182928585
3961,1371,121,image,Tuesday,14,11,2352.265785130166
16331,1904,75,image,Tuesday,14,11,7564.801667377136
10249,252,19,image,Tuesday,14,9,5212.015837410761
11462,88,24,image,Tuesday,14,14,7530.912085241505
15517,1969,200,image,Tuesday,14,9,7911.445738271251
7138,513,125,image,Tuesday,14,14,2152.133802665986
8911,307,180,image,Tuesday,14,1,5671.840153937221
6223,1949,83,image,Tuesday,14,1,2448.021418928704
4812,399,188,image,Tuesday,14,20,2523.489608730995
22824,1141,59,image,Tuesday,14,2,10285.708308952024
10469,1766,113,image,Tuesday,14,8,6196.253498438974
9170,1401,24,image,Tuesday,14,4,5903.976404996544
4424,1863,80,image,Tuesday,14,7,2368.0258256170196
14700,1367,101,image,Tuesday,14,12,6043.139901988606
11194,156,2,image,Tuesday,14,14,7528.395710121533
20657,1487,159,image,Tuesday,14,5,13276.510672605586
4569,1937,70,image,Tuesday,14,11,2289.6312546592235
17886,1020,171,image,Tuesday,14,16,7374.619444192718
16676,1782,72,image,Tuesday,14,7,9512.473505159165
9862,160,47,image,Tuesday,14,19,5483.655732715425
4861,1522,143,image,Tuesday,14,6,1879.826325835824
12991,1507,124,image,Tuesday,14,11,5557.722395143983
7482,1538,30,image,Tuesday,14,17,2629.0086667772366
9427,103,131,image,Tuesday,14,16,6378.844572509223
19455,1701,82,image,Tuesday,14,5,6732.674953690395
13627,1103,85,image,Tuesday,14,20,7702.213696876321
21593,1813,167,image,Tuesday,14,6,9588.78582305471
12313,258,167,image,Tuesday,14,6,4356.762335665055
18946,1280,83,image,Tuesday,14,17,10430.73499977384
7475,1859,135,image,Tuesday,14,4,4835.200161470765
15386,95,136,image,Tuesday,14,16,5032.097546773522
13563,470,195,image,Tuesday,14,13,4697.798378032178
2349,1104,172,image,Tuesday,14,3,1525.299677393106
21421,1361,181,image,Tuesday,14,20,11538.432573139951
3560,1604,179,image,Tuesday,14,19,2096.480852555451
2738,1600,109,image,Tuesday,14,20,1853.1291147649758
14992,557,131,image,Tuesday,14,13,7456.268177849263
16511,1268,52,image,Tuesday,14,5,7667.343615196864
3509,1325,51,image,Tuesday,14,2,1378.0344731272107
17254,521,16,image,Tuesday,14,15,7768.456748995439
14013,96,34,image,Tuesday,14,16,7997.160719416529
6007,318,73,image,Tuesday,14,19,2054.4494549566275
18611,576,49,image,Tuesday,14,14,6074.845701929235
6591,79,183,image,Tuesday,14,8,2704.3574478892265
13931,1074,146,image,Tuesday,14,1,5289.7102396384125
17349,1876,110,image,Tuesday,14,2,11993.005607982492
5511,665,159,image,Tuesday,14,14,3594.4562681084335
22466,1030,149,image,Tuesday,14,15,13260.476592518407
20973,873,93,image,Tuesday,14,2,8180.877892414809
6124,1326,171,image,Tuesday,14,10,2591.6115830021768
15415,496,153,image,Tuesday,14,20,6502.123934929175
10890,1441,91,image,Tuesday,14,4,3691.828638409256
17843,1820,23,image,Tuesday,14,1,11187.038024551399
20952,1757,43,image,Tuesday,14,12,14663.140230697296
14359,1944,97,image,Tuesday,14,2,7270.10999139374
20144,1121,61,image,Tuesday,14,11,11549.47948468811
16035,980,189,reel,Sunday,19,10,10147.868979489205
8484,1782,114,reel,Sunday,19,17,4974.315379803374
20549,1816,127,reel,Sunday,19,1,6706.798911860023
13466,1739,115,reel,Sunday,19,3,5149.014039748298
13435,1920,59,reel,Sunday,19,9,7570.720735595577
23672,1880,194,reel,Sunday,19,5,11970.815743366047
18055,392,20,reel,Sunday,19,10,6136.398807848172
15817,979,50,reel,Sunday,19,13,7203.151673820838
24257,164,92,reel,Sunday,19,15,12351.943350246773
11737,179,159,reel,Sunday,19,10,4944.685925293734
19990,1099,132,reel,Sunday,19,11,12859.48526172292
13164,1802,198,reel,Sunday,19,12,6058.943686195984
4276,1358,103,reel,Sunday,19,18,2761.2220148914944
24909,66,31,reel,Sunday,19,16,11674.534742210739
9266,1073,193,reel,Sunday,19,16,3386.42469682523
9286,1067,56,reel,Sunday,19,5,4510.486521258515
11508,1296,117,reel,Sunday,19,12,4730.9588823059885
14047,1935,34,reel,Sunday,19,9,5481.555819603706
10024,1096,198,reel,Sunday,19,16,5431.569872078066
4916,660,117,reel,Sunday,19,5,1747.9737994197537
12632,1216,83,reel,Sunday,19,16,4445.824367237985
2616,1244,124,reel,Sunday,19,7,827.2276604188698
21519,1601,99,reel,Sunday,19,10,6721.503197039169
2225,1061,15,reel,Sunday,19,1,1509.3329650278333
18659,538,94,reel,Sunday,19,15,5634.384655932438
4164,1087,62,reel,Sunday,19,4,1573.9450035513034
5195,429,22,reel,Sunday,19,2,2161.576981466377
16949,1069,151,reel,Sunday,19,1,11837.951389113761
11703,199,168,reel,Sunday,19,8,7544.231969569589
12310,983,28,reel,Sunday,19,9,7620.1173269085775
6692,827,74,reel,Sunday,19,8,2573.802674907239
14406,1480,148,reel,Sunday,19,4,8638.024233980002
22485,1890,61,reel,Sunday,19,16,14925.47018454845
11665,648,78,reel,Sunday,19,17,4977.392577646705
20105,1786,85,reel,Sunday,19,10,6197.418135880786
14684,445,6,reel,Sunday,19,17,6824.124286124906
2146,1487,186,reel,Sunday,19,15,1407.416774720974
15126,348,75,reel,Sunday,19,20,5398.848423886231
6702,1945,110,reel,Sunday,19,15,4442.867074478927
15010,1655,87,reel,Sunday,19,19,9843.162245137808
13046,439,41,reel,Sunday,19,16,5226.346989624352
5461,403,9,reel,Sunday,19,4,3084.3171091018144
19153,1824,192,reel,Sunday,19,13,8586.397976413145
24996,1582,125,reel,Sunday,19,6,12648.089275413746
9687,1219,50,reel,Sunday,19,19,5109.268503263409
14405,226,28,reel,Sunday,19,1,7705.55645557658
7815,93,181,reel,Sunday,19,10,5253.126067946027
11886,920,8,reel,Sunday,19,1,3976.929976445295
17378,1479,156,reel,Sunday,19,18,6906.909749459242
3198,809,23,reel,Sunday,19,6,1169.3490930127748
20324,381,108,reel,Sunday,19,15,12312.449585314313
16482,1901,180,reel,Sunday,19,9,7422.199497851279
4034,692,57,reel,Sunday,19,14,1969.099026853296
22508,382,23,reel,Sunday,19,10,7674.629255406936
21583,730,121,reel,Sunday,19,16,7529.438414709577
21643,142,14,reel,Sunday,19,4,12152.026997040213
14719,1406,53,reel,Sunday,19,8,6395.9199280303965
23262,109,132,reel,Sunday,19,8,9895.041796252603
14780,890,154,reel,Sunday,19,4,8143.382533814197
2684,586,110,reel,Sunday,19,18,878.0289049360074
14827,1586,100,reel,Sunday,19,11,9531.738483001767
12266,800,104,reel,Sunday,19,17,7571.654170864411
15903,1839,182,reel,Sunday,19,20,5882.798588927215
7667,1957,42,reel,Sunday,19,10,2372.7610305514327
19271,1377,33,reel,Sunday,19,11,6629.932727920425
22904,1944,191,reel,Sunday,19,3,14894.720206172951
16902,1832,130,reel,Sunday,19,11,7828.9558426550975
24048,1621,21,reel,Sunday,19,12,9557.992325663461
21381,1548,75,reel,Sunday,19,8,12981.055841282863
8602,306,143,reel,Sunday,19,6,3753.801140897284
18008,1262,54,reel,Sunday,19,17,8040.7552824198565
5464,1898,80,reel,Sunday,19,9,3618.603578970218
3892,963,90,reel,Sunday,19,13,2192.1909780723895
23406,1076,100,reel,Sunday,19,8,10471.690527865638
6999,576,108,reel,Sunday,19,19,4386.489601799147
13114,511,102,reel,Sunday,19,1,5353.182096616447
18858,535,198,reel,Sunday,19,1,10508.444158142265
5955,810,199,reel,Sunday,19,20,2601.204002258201
11308,630,10,reel,Sunday,19,2,7848.084756841943
15296,1705,104,reel,Sunday,19,16,5177.753390634073
11403,1383,59,reel,Sunday,19,6,7045.54511718034
9527,552,165,reel,Sunday,19,2,5545.754150237713
4995,1926,5,reel,Sunday,19,14,2468.159766744935
9018,1883,114,reel,Sunday,19,13,3297.8794909191956
9428,1438,105,reel,Sunday,19,18,3469.1144019660037
11458,224,0,reel,Sunday,19,6,5985.208563194452
20967,1410,18,reel,Sunday,19,17,12435.591731387907
24387,645,167,reel,Sunday,19,4,13626.329819057948
13905,883,36,reel,Sunday,19,16,6630.286583489732
3778,1572,32,reel,Sunday,19,19,1184.9999836441407
24804,536,132,reel,Sunday,19,1,13336.157288318622
22161,1810,29,reel,Sunday,19,15,15358.469930175856
15283,1736,115,reel,Sunday,19,11,9028.873031579764
3205,495,157,reel,Sunday,19,6,1090.285130398478
10068,885,186,reel,Sunday,19,1,6331.517442533079
24534,1351,6,reel,Sunday,19,12,12110.517648558607
7276,1256,173,reel,Sunday,19,8,3836.2133946874587
20977,1081,110,reel,Sunday,19,14,12255.160363196299
12144,1407,155,reel,Sunday,19,5,7635.539281123375
12628,209,93,reel,Sunday,19,13,7072.957704153583
16934,256,48,image,Monday,11,5,6846.737169685763
13927,307,95,image,Monday,11,1,5183.169337243861
22071,876,112,image,Monday,11,16,12857.902173337283
22109,1183,43,image,Monday,11,17,12011.348256060292
21127,729,160,image,Monday,11,13,14657.369746123353
10458,154,63,image,Monday,11,1,6516.213680598951
11181,1954,101,image,Monday,11,5,5902.933488805605
9683,1149,199,image,Monday,11,16,3062.8677445915623
18818,1944,94,image,Monday,11,7,12765.067613216375
14016,1562,31,image,Monday,11,14,5368.941517994654
8717,1208,49,image,Monday,11,3,3106.7274057128457
20017,778,79,image,Monday,11,1,12388.884254305105
4372,406,20,image,Monday,11,4,1323.8113550480582
7397,363,40,image,Monday,11,17,2550.23328516078
19505,1826,25,image,Monday,11,5,6426.8676874157445
23439,1761,13,image,Monday,11,10,13672.548197192395
4814,1619,13,image,Monday,11,16,1821.5415799903578
24135,871,54,image,Monday,11,8,11814.642308657598
10131,626,43,image,Monday,11,7,4146.364927214326
22327,1991,43,image,Monday,11,8,14528.273836776647
22984,1766,76,image,Monday,11,3,12354.71192015397
17555,81,84,image,Monday,11,7,10495.147254046882
3413,729,95,image,Monday,11,12,2168.3480541487775
15864,1585,70,image,Monday,11,14,6434.786154710662
17970,1241,52,image,Monday,11,9,11721.20196780923
16767,234,133,image,Monday,11,13,9246.507169888631
4956,1677,51,image,Monday,11,18,2471.693701574532
2154,617,143,image,Monday,11,6,742.047596765636
10034,1884,179,image,Monday,11,19,3038.597662809996
3923,579,48,image,Monday,11,19,1864.860454932793
19061,1859,100,image,Monday,11,13,11921.804471630769
14009,1131,151,image,Monday,11,14,8192.333811431912
7061,754,100,image,Monday,11,14,3961.0303819788724
13992,598,93,image,Monday,11,5,8371.061964117667
2150,1873,183,image,Monday,11,5,799.1865136253709
2613,676,194,image,Monday,11,9,1117.9671249467094
22133,1845,22,image,Monday,11,11,15435.119401290938
5486,893,164,image,Monday,11,19,2918.243584004406
20974,319,106,image,Monday,11,18,14486.101484059325
4044,771,175,image,Monday,11,4,1884.246001460503
16510,713,38,image,Monday,11,8,9658.452788000135
19439,422,0,image,Monday,11,1,12206.877971722703
7233,1270,103,image,Monday,11,13,4749.710221719841
21639,1345,97,image,Monday,11,8,10988.918107070165
18160,173,1,image,Monday,11,10,6299.297221941485
4727,1729,173,image,Monday,11,17,3191.953849315961
23738,1551,150,image,Monday,11,19,13318.435961658191
14586,528,33,image,Monday,11,19,6733.045182698383
10328,669,0,image,Monday,11,16,4635.014015298682
11897,735,14,image,Monday,11,2,4589.881835808941
5725,756,106,image,Monday,11,19,1779.8943842866345
19625,1722,99,image,Monday,11,20,6913.830492281757
19873,1808,134,image,Monday,11,4,12279.574088439444
12414,529,49,image,Monday,11,3,5030.08133320879
11799,880,180,image,Monday,11,9,6578.883732664843
16817,835,185,image,Monday,11,16,11262.82504550399
23077,757,170,image,Monday,11,18,15524.748521003996
14634,1482,97,image,Monday,11,20,6640.905947221454
6076,616,24,image,Monday,11,14,3109.630298562966
21889,466,142,image,Monday,11,18,9454.114789566283
7367,1054,103,image,Monday,11,2,2728.3473281322563
7201,736,6,image,Monday,11,10,4118.175494348636
3235,1128,63,image,Monday,11,20,2255.5664629289554
16611,1457,172,image,Monday,11,1,6033.91339598246
6972,230,186,image,Monday,11,2,4364.21258614389
14456,527,160,image,Monday,11,12,5114.77676729573
14626,1694,115,image,Monday,11,6,8008.983963086956
10385,1453,92,image,Monday,11,18,3796.1599050123314
11992,1684,46,image,Monday,11,19,6041.1492553587805
20858,1286,62,image,Monday,11,11,7045.533227633996
14545,1321,128,image,Monday,11,7,7797.0197553106245
15778,604,171,image,Monday,11,5,4977.476319920207
8356,275,192,image,Monday,11,12,3597.2393509246863
12626,445,33,image,Monday,11,14,4455.939110419517
24680,558,182,image,Monday,11,11,16179.790812317584
11948,861,99,image,Monday,11,6,6555.838245007396
23449,1949,157,image,Monday,11,16,12529.03993930465
15946,1903,166,image,Monday,11,15,7217.991205342975
7000,1443,103,image,Monday,11,2,2383.965281333848
6724,637,169,image,Monday,11,18,3919.555959086697
22031,1252,123,image,Monday,11,2,12924.676453851815
9162,1320,8,image,Monday,11,8,5592.529690869889
24887,57,95,image,Monday,11,14,13886.728730032952
14262,531,36,image,Monday,11,11,6879.850620927838
20404,1254,42,image,Monday,11,18,11753.971446487025
5339,775,27,image,Monday,11,5,2779.333480578051
21263,318,49,image,Monday,11,14,11517.838952121037
16241,1866,102,image,Monday,11,17,5629.406067270933
2500,1927,179,image,Monday,11,11,1232.702694827388
8391,794,196,image,Monday,11,13,5247.659936395058
21963,1851,30,image,Monday,11,12,8745.02673444276
5181,290,178,image,Monday,11,14,2576.1318774634074
8463,1239,96,image,Monday,11,6,5454.5700413442155
5597,1695,51,image,Monday,11,4,1945.686612304594
21563,517,188,image,Monday,11,1,9991.164229769282
14980,1804,179,image,Monday,11,10,4606.763340389723
11452,1809,169,image,Monday,11,18,6224.4769934845235
11097,506,30,image,Monday,11,14,4779.004005243304
21832,1117,142,image,Monday,11,14,10901.193236603278
20808,1221,181,image,Monday,11,2,12930.020461532305
23632,422,67,video,Thursday,18,4,13684.60242277987
12280,390,47,video,Thursday,18,16,3827.8353084963987
9966,762,109,video,Thursday,18,15,6419.2993116552125
2980,1703,94,video,Thursday,18,2,1590.9509529644831
13126,86,192,video,Thursday,18,16,7351.702587724565
24723,869,83,video,Thursday,18,4,14184.980525975563
24201,1121,67,video,Thursday,18,9,9603.828392750773
9431,541,191,video,Thursday,18,17,3406.8699086622455
12354,809,32,video,Thursday,18,1,5854.903879082178
22893,1114,112,video,Thursday,18,16,14062.173491220321
17701,1664,197,video,Thursday,18,18,12058.28181671246
14623,1626,151,video,Thursday,18,11,9781.13842428664
3298,1359,125,video,Thursday,18,5,2221.7551918693193
5744,500,128,video,Thursday,18,19,2207.812537789224
24679,1179,42,video,Thursday,18,7,9437.714581555132
17610,915,32,video,Thursday,18,16,5872.277647215519
7751,1063,26,video,Thursday,18,4,3958.033044110846
15337,470,25,video,Thursday,18,1,5649.334843489894
21493,1872,175,video,Thursday,18,19,13840.769074233413
20046,114,86,video,Thursday,18,8,13788.39384616277
17078,1555,186,video,Thursday,18,19,6602.27173238244
4608,840,185,video,Thursday,18,10,1913.4830682733889
24991,1667,124,video,Thursday,18,9,8254.309094153243
7063,1980,170,video,Thursday,18,14,2245.6297420491032
4786,1849,75,video,Thursday,18,1,2790.0401218141583
5450,1242,118,video,Thursday,18,12,2305.6723929031014
24350,1149,90,video,Thursday,18,18,10533.594181323411
13999,1336,183,video,Thursday,18,10,8502.968204288676
12793,1744,115,video,Thursday,18,17,6055.6052363780755
21673,818,155,video,Thursday,18,17,13076.254229895796
21189,215,46,video,Thursday,18,10,12915.76157842054
11724,201,63,video,Thursday,18,12,6876.503142894768
6450,1844,23,video,Thursday,18,4,2793.305444753373
15165,1120,90,video,Thursday,18,18,8454.96465829105
14326,1429,191,video,Thursday,18,11,9500.85589863628
21664,1153,182,video,Thursday,18,11,14973.949211499392
11502,1557,79,video,Thursday,18,11,6019.030326545999
22834,1541,46,video,Thursday,18,8,6957.814268502821
23073,1019,175,video,Thursday,18,17,10283.68749339322
7908,761,28,video,Thursday,18,10,4812.035788178472
15442,547,178,video,Thursday,18,20,10238.679973137636
6788,333,115,video,Thursday,18,15,4202.33517185994
9227,483,46,video,Thursday,18,14,5326.301262539499
5237,949,21,video,Thursday,18,7,3017.981728246214
2979,1239,100,video,Thursday,18,6,1970.3614160423833
19619,1511,187,video,Thursday,18,1,6325.492311716078
9390,1028,175,video,Thursday,18,12,5930.300920916422
12294,1646,50,video,Thursday,18,5,4628.017562451162
4250,366,110,video,Thursday,18,13,1924.9244207116571
24751,821,192,video,Thursday,18,1,17099.964047640926
10733,1101,196,video,Thursday,18,2,6626.5029270326395
6308,1547,99,video,Thursday,18,13,4221.165326760842
6788,1098,83,video,Thursday,18,16,3583.901449028006
24804,517,0,video,Thursday,18,6,11008.73999380572
20052,599,29,video,Thursday,18,9,9516.556625874784
24422,150,146,video,Thursday,18,13,9011.259414186354
18027,1683,34,video,Thursday,18,13,11398.602084762171
3463,1791,42,video,Thursday,18,11,2045.6534641659366
10296,552,180,video,Thursday,18,18,3851.014555046875
6861,315,66,video,Thursday,18,11,4521.2339027328435
7646,603,165,video,Thursday,18,4,2572.731011354515
16461,1127,87,video,Thursday,18,8,6857.440482900921
13615,1435,188,video,Thursday,18,16,6125.373748049223
3245,291,133,video,Thursday,18,19,1175.4534640332317
7609,1981,27,video,Thursday,18,17,4006.228782526796
11410,408,113,video,Thursday,18,15,4298.769973400929
15164,1025,119,video,Thursday,18,17,10051.325890070084
9946,409,40,video,Thursday,18,15,6693.416986036563
2802,1251,5,video,Thursday,18,12,1219.4671289329024
2412,106,158,video,Thursday,18,13,1543.5177584168057
16987,611,194,video,Thursday,18,18,5580.1037009849515
14010,1832,108,video,Thursday,18,18,4607.760533227376
24923,1498,186,video,Thursday,18,3,14470.750826842646
18993,1374,59,video,Thursday,18,14,13041.105056807111
13362,1266,5,video,Thursday,18,15,5295.362929142501
11193,1835,155,video,Thursday,18,8,7404.003781939779
21771,642,22,video,Thursday,18,14,10291.285862384582
17843,1330,141,video,Thursday,18,20,8015.217594736132
2134,1900,68,video,Thursday,18,5,901.7578944666025
11724,1441,45,video,Thursday,18,1,5076.720801075493
15034,1804,178,video,Thursday,18,15,10147.244775906993
8515,882,183,video,Thursday,18,5,4334.014168434572
8475,1802,197,video,Thursday,18,6,3661.989323399727
13187,63,124,video,Thursday,18,4,4673.491602648311
5393,331,58,video,Thursday,18,14,1903.9861084730578
18744,387,103,video,Thursday,18,17,11640.00695110914
17510,888,164,video,Thursday,18,11,8777.37753113047
14641,1181,5,video,Thursday,18,9,7700.866067606316
4148,515,199,video,Thursday,18,17,1544.8104430254605
19259,1865,35,video,Thursday,18,6,7975.2852967142035
11814,1021,56,video,Thursday,18,20,7268.584727500597
15716,861,0,video,Thursday,18,15,5371.356545766035
12667,404,154,video,Thursday,18,13,4460.628580196282
9440,1593,25,video,Thursday,18,17,3594.7470706462877
18634,697,61,video,Thursday,18,13,5721.401244646331
23457,1006,84,video,Thursday,18,3,7263.3944728286415
16319,238,87,video,Thursday,18,5,5068.580121902723
2391,96,39,video,Thursday,18,9,1411.6952920224123
10759,1617,177,video,Thursday,18,5,4559.714102414632
18552,716,21,video,Thursday,18,13,7899.314918021161
2575,1906,152,image,Wednesday,10,14,1476.0458595999507
11758,819,90,image,Wednesday,10,5,6383.735850753529
2829,1876,70,image,Wednesday,10,5,1727.2749052479185
